configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta78_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta78_10a_alloc1_MaxEffGini.dzn,SATISFIED,1201.3766148127615,2020,1670473,1390885,8093,1382790,-43882,183383934,0.388,minimize,0.0,132,132,6100,-1851701144,4100,18211,-43882,1103112,1198.08,8091,299362,1.92131,0.0,8000,299362,MaxEff,3.16,2100,0,10102,82.973,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta68_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta68_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7315037045628,1014,1519657,345685,4046,341637,-18487,388276028,0.185,minimize,0.0,43,43,3050,1486205815,2050,9115,-18487,964037,1199.0,4045,511428,0.999193,0.0,4000,511428,MaxEff,0.94,1050,0,5060,41.274,2000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta49_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta49_3a_alloc1_MaxEffGini.dzn,SATISFIED,1200.4183261282742,,,,,,-9670,,,minimize,,,28,1830,,1230,5480,,,,2430,,0.644272,,2400,,MaxEff,,630,0,,,1200
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta65_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta65_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.8111935723573,1014,2035741,347666,4047,343617,-18669,364148605,0.187,minimize,0.0,46,46,3050,170049754,2050,9116,-18669,1285268,1198.995,4046,703188,1.00552,0.0,4000,703188,MaxEff,1.41,1050,0,5062,255.564,2000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta70_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta70_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.5341689884663,,,,,,-20191,,,minimize,,,58,3050,,2050,9114,,,,4044,,1.07665,,4000,,MaxEff,,1050,0,,,2000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta72_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta72_8a_alloc1_MaxEffGini.dzn,SATISFIED,1201.4102082904428,2018,4331463,1604487,8091,1596394,-44181,366058480,0.375,minimize,0.0,208,208,6100,-286726916,4100,18209,-44181,3568022,1198.118,8089,342752,1.88187,0.0,8000,342752,MaxEff,3.16,2100,0,10098,741.172,4000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta69_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta69_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.4906898718327,,,,,,-21599,,,minimize,,,47,3050,,2050,9120,,,,4050,,1.01159,,4000,,MaxEff,,1050,0,,,2000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta75_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta75_6a_alloc1_MaxEffGini.dzn,SATISFIED,1201.3292062487453,2019,2894065,1436542,8086,1428454,-44353,288686655,0.372,minimize,0.0,175,175,6100,678733264,4100,18204,-44353,2143802,1198.118,8084,396310,1.8825,0.0,8000,396310,MaxEff,3.16,2100,0,10088,180.941,4000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta74_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta74_8a_alloc1_MaxEffGini.dzn,SATISFIED,1201.4295636489987,2019,1959988,1611638,8089,1603547,-47213,200750729,0.383,minimize,0.0,123,123,6100,-1647225132,4100,18207,-47213,1454177,1198.107,8087,256283,1.89033,0.0,8000,256283,MaxEff,3.16,2100,0,10094,614.144,4000
Chuffed BBval,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta76_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta76_5a_alloc1_MaxEffGini.dzn,SATISFIED,1201.4356430917978,2020,2303781,1377479,8086,1369391,-43048,187425931,0.382,minimize,0.0,151,151,6100,154942993,4100,18204,-43048,1641931,1198.105,8084,355913,1.89485,0.0,8000,355913,MaxEff,3.16,2100,0,10088,1052.27,4000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta72_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta72_10a_alloc1_MaxEffGini.dzn,SATISFIED,1200.6504464428872,,,,,,-29030,,,minimize,,,96,6100,,4100,18211,,,,8091,,1.89186,,8000,,MaxEff,,2100,0,,,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta71_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta71_5a_alloc1_MaxEffGini.dzn,SATISFIED,1201.6057479679585,2019,3050288,1645848,8090,1637756,-43450,207034842,0.396,minimize,0.0,274,274,6100,-653660111,4100,18209,-43450,2123507,1197.991,8089,373038,2.00454,0.0,8000,373038,MaxEff,3.16,2100,0,10098,937.499,4000
Chuffed Prop,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta72_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta72_5a_alloc1_MaxEffGini.dzn,SATISFIED,1200.640915023163,,,,,,-44181,,,minimize,,,159,6100,,4100,18206,,,,8086,,1.94322,,8000,,MaxEff,,2100,0,,,4000
Chuffed BB,jobshop,jobshop/jobshop_gini.mzn,jobshop/dzn/ta52_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffGini/ta52_4a_alloc1_MaxEffGini.dzn,SATISFIED,1200.7056002430618,763,5720663,249438,3049,246387,-15141,227485482,0.14,minimize,0.0,43,43,2300,781875633,1550,6863,-15141,4704194,1199.186,3048,983097,0.811449,0.0,3000,983097,MaxEff,0.94,800,0,3811,4.845,1500
