configuration,problem,model,data_file,status,time,peakDepth,nodes,variables,intVars,boolVariables,objective,propagations,initTime,method,baseMem,restarts,nSolutions,flatBoolVars,randomSeed,evaluatedHalfReifiedConstraints,flatIntConstraints,solver_objective,backjumps,solveTime,flatIntVars,nogoods,flatTime,peakMem,flatBoolConstraints,failures,run,trailMem,eliminatedImplications,paths,propagators,optTime,evaluatedReifiedConstraints
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta75_8a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta75_8a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.7303575985134,,,,,,-29979,,,minimize,,,129,6100,,4100,18240,,,,8111,,1.88438,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta54_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta54_4a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.7314567547292,762,14701354,598163,3066,595095,-14912,281948280,0.138,minimize,0.0,70,70,2300,-794727,1550,6884,-14912,13844039,1199.218,3064,818203,0.780172,0.0,3000,818203,MaxEff_dcmp,0.94,800,0,3835,140.62,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta56_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta56_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.6638289596885,764,3349425,322061,3058,319001,-15896,259337564,0.141,minimize,0.0,61,61,2300,67037683,1550,6875,-15896,2477238,1199.224,3056,825472,0.773452,0.0,3000,825472,MaxEff_dcmp,0.94,800,0,3821,8.087999,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta64_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta64_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.931750131771,1015,16470005,833601,4057,829542,-17751,339981470,0.184,minimize,0.0,121,121,3050,233572344,2050,9131,-17751,15609598,1198.99,4055,753294,1.00977,0.0,4000,753294,MaxEff_dcmp,0.94,1050,0,5070,400.911,2000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta60_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta60_4a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.7235203329474,765,15254463,615310,3067,612241,-15124,275637912,0.14,minimize,0.0,78,78,2300,-738319032,1550,6885,-15124,14369070,1199.221,3065,842035,0.774972,0.0,3000,842035,MaxEff_dcmp,0.94,800,0,3837,694.238,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta46_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta46_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5734082441777,606,3080802,275646,2440,273204,-10385,491293395,0.112,minimize,0.0,22,22,1830,-1424956451,1230,5491,-10385,2412342,1199.339,2438,655086,0.657867,0.0,2400,655086,MaxEff_dcmp,0.94,630,0,3062,12.042,1200
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta53_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.7185098305345,765,13859444,540113,3068,537043,-15127,242132787,0.141,minimize,0.0,51,51,2300,-1030571081,1550,6887,-15127,12927134,1199.211,3066,907313,0.787133,0.0,3000,907313,MaxEff_dcmp,0.94,800,0,3837,117.17,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta79_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.4424424413592,2021,6377512,1677372,8103,1669267,-44118,194869924,0.376,minimize,0.0,130,130,6100,1436750012,4100,18227,-44118,5827935,1198.106,8101,288244,1.89182,0.0,8000,288244,MaxEff_dcmp,3.16,2100,0,10112,357.187,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta55_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta55_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.6557221841067,762,17854698,447060,3067,443991,-12972,242823807,0.135,minimize,0.0,49,49,2300,-783005936,1550,6886,-12972,16123588,1199.233,3065,1707181,0.768248,0.0,3000,1707181,MaxEff_dcmp,0.63,800,0,3835,106.644,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta59_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta59_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.7009008023888,760,16891899,585032,3068,581962,-12718,240168316,0.136,minimize,0.0,48,48,2300,-342583582,1550,6887,-12718,15934680,1199.22,3066,934145,0.779565,0.0,3000,934145,MaxEff_dcmp,0.94,800,0,3837,116.052,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta31_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta31_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5629457440227,458,3378308,184374,1837,182535,-7729,440896491,0.081,minimize,0.0,22,22,1380,701297431,930,4133,-7729,2354610,1199.482,1835,1013394,0.515406,0.0,1800,1013394,MaxEff_dcmp,0.63,480,0,2301,11.257,900
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta39_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta39_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5245024506003,458,2559308,227512,1837,225673,-8091,399678596,0.079,minimize,0.0,36,36,1380,-589537413,930,4133,-8091,1717313,1199.463,1835,825430,0.537232,0.0,1800,825430,MaxEff_dcmp,0.63,480,0,2301,248.674,900
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta62_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta62_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.1632000394166,1012,13164230,1363388,4068,1359318,-18895,208164931,0.188,minimize,0.0,85,85,3050,-1063944675,2050,9142,-18895,12816101,1199.013,4066,274512,1.03343,0.0,4000,274512,MaxEff_dcmp,1.41,1050,0,5092,1157.674,2000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta58_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta58_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.6144161429256,763,4021417,343686,3065,340619,-15650,225529330,0.141,minimize,0.0,76,76,2300,-1981121264,1550,6882,-15650,2992682,1199.225,3063,971689,0.774444,0.0,3000,971689,MaxEff_dcmp,0.94,800,0,3835,22.065,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta78_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta78_10a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.7757737226784,,,,,,-35866,,,minimize,,,162,6100,,4100,18253,,,,8122,,1.88847,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta62_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta62_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.859359646216,1012,4723118,651563,4060,647501,-19230,316309609,0.189,minimize,0.0,45,45,3050,-1216951412,2050,9132,-19230,4141994,1198.97,4058,537154,1.02914,0.0,4000,537154,MaxEff_dcmp,3.16,1050,0,5080,132.906,2000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta64_4a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta64_4a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.8224241286516,1016,14857549,576028,4053,571973,-18229,334970303,0.184,minimize,0.0,66,66,3050,-961678489,2050,9126,-18229,14355329,1198.985,4051,447840,1.013879,0.0,4000,447840,MaxEff_dcmp,1.41,1050,0,5064,249.776,2000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta76_7a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta76_7a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.6845578420907,,,,,,-32348,,,minimize,,,164,6100,,4100,18236,,,,8108,,1.90152,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta73_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta73_6a_alloc1_MaxEffSpread.dzn,UNKNOWN,1201.3281062375754,2004,1708077,1160991,8111,1152878,,7417621,0.381,minimize,0.0,0,0,6100,-892831284,4100,18236,-1,1562593,1198.106,8109,144215,1.89143,0.0,8000,144215,MaxEff_dcmp,16.02,2100,0,10126,0.0,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta78_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta78_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.4015638567507,2020,6670463,1558656,8104,1550550,-43882,183925683,0.382,minimize,0.0,155,155,6100,-1354865368,4100,18228,-43882,6058295,1198.102,8102,300507,1.89563,0.0,8000,300507,MaxEff_dcmp,3.16,2100,0,10114,160.141,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta49_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta49_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5700104646385,610,2747738,231253,2442,228809,-9637,482586409,0.109,minimize,0.0,34,34,1830,-703890491,1230,5494,-9637,2043215,1199.348,2440,683728,0.655211,0.0,2400,683728,MaxEff_dcmp,0.94,630,0,3064,201.366,1200
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta57_5a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta57_5a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.7546757441014,764,15045818,712903,3068,709833,-15793,277125970,0.139,minimize,0.0,101,101,2300,-1571455450,1550,6887,-15793,14128353,1199.229,3066,854853,0.769224,0.0,3000,854853,MaxEff_dcmp,0.94,800,0,3837,142.411,1500
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta71_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta71_10a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.6916252821684,,,,,,-33561,,,minimize,,,150,6100,,4100,18256,,,,8125,,1.91156,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta79_9a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.672622308135,,,,,,-39791,,,minimize,,,270,6100,,4100,18247,,,,8117,,1.88603,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta74_6a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta74_6a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.7010960020125,2019,4774797,2221089,8106,2212981,-45061,147847912,0.376,minimize,0.0,416,416,6100,1340592612,4100,18231,-45061,3390065,1198.087,8104,547987,1.91226,0.0,8000,547987,MaxEff_dcmp,3.16,2100,0,10116,199.416,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta39_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta39_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.4995050672442,457,1786177,189838,1841,187995,-8323,455707863,0.08,minimize,0.0,37,37,1380,94596650,930,4138,-8323,1035132,1199.484,1839,733983,0.514494,0.0,1800,733983,MaxEff_dcmp,0.94,480,0,2307,129.116,900
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta71_9a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta71_9a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.6800926160067,,,,,,-28361,,,minimize,,,173,6100,,4100,18251,,,,8121,,1.89006,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta48_3a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta48_3a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.6508412007242,607,3499949,388247,2443,385802,-10438,428834457,0.107,minimize,0.0,32,32,1830,717182838,1230,5495,-10438,2914153,1199.34,2441,566808,0.65928,0.0,2400,566808,MaxEff_dcmp,0.94,630,0,3066,376.123,1200
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta73_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta73_10a_alloc1_MaxEffSpread.dzn,UNKNOWN,1201.4877961818129,2004,250892,1461358,8127,1453229,,5986588,0.385,minimize,0.0,0,0,6100,1493544091,4100,18256,-1,111351,1198.13,8125,137539,1.89806,0.0,8000,137539,MaxEff_dcmp,16.02,2100,0,10150,0.0,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta72_10a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta72_10a_alloc1_MaxEffSpread.dzn,SATISFIED,1201.6866051051766,,,,,,-22208,,,minimize,,,85,6100,,4100,18253,,,,8122,,1.89739,,8000,,MaxEff_dcmp,,2100,0,,,4000
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta33_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta33_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5440804809332,462,2779547,215748,1840,213906,-9438,467003681,0.085,minimize,0.0,31,31,1380,704789840,930,4136,-9438,1873846,1199.488,1838,891329,0.510912,0.0,1800,891329,MaxEff_dcmp,0.63,480,0,2307,409.944,900
Chuffed Dcmp,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta37_2a_alloc1.dzn:jobshop/generated_bounds/MaxEffSpread/ta37_2a_alloc1_MaxEffSpread.dzn,SATISFIED,1200.5563878752291,461,3867202,170514,1841,168671,-8284,411804415,0.085,minimize,0.0,28,28,1380,-854398275,930,4137,-8284,2747223,1199.486,1839,1106875,0.513254,0.0,1800,1106875,MaxEff_dcmp,0.63,480,0,2309,218.266,900
