configuration,problem,model,data_file,status,time,restarts,intVars,run,initTime,solveTime,method,flatTime,backjumps,optTime,nSolutions,solver_objective,flatIntConstraints,objective,baseMem,trailMem,eliminatedImplications,flatBoolVars,flatBoolConstraints,failures,nogoods,nodes,propagations,peakDepth,propagators,paths,flatIntVars,evaluatedHalfReifiedConstraints,randomSeed,boolVariables,evaluatedReifiedConstraints,peakMem,variables
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta76_7a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta76_7a_alloc1_MinDis.dzn,SATISFIED,1201.116274483502,32,8086,MinDis,0.401,1198.117,minimize,1.88433,3552816,1055.414,32,1803716,18208,1803716,0.0,2.11,2100,6100,8000,158121,158121,3776892,842174087,2020,10090,0,8085,4100,-1243036302,789903,4000,0.0,797991
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_8a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_8a_alloc1_MinDis.dzn,SATISFIED,1201.2135593574494,31,8088,MinDis,0.386,1198.103,minimize,1.89901,2711307,1024.953,31,156559,18210,156559,0.0,2.11,2100,6100,8000,118686,118686,2893831,692733481,2021,10094,0,8087,4100,-1952435366,894963,4000,0.0,903053
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta63_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta63_3a_alloc1_MinDis.dzn,OPTIMAL_SOLUTION,93.96075339242816,34,4049,MinDis,0.184,92.215,minimize,1.06215,475910,92.113,34,0,9121,0,0.0,0.94,1050,3050,4000,82585,82585,592916,36765416,1015,5066,0,4048,2050,277556918,295862,2000,0.0,299913
Chuffed BBval,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_4a_alloc1_MinDis.dzn,SATISFIED,1200.5275667533278,2,3049,MinDis,0.136,1199.239,minimize,0.759726,2689526,4.95,2,1697505,6866,1697505,0.0,0.94,800,2300,3000,1280387,1280387,3972129,306660899,765,3811,0,3048,1550,-1228864045,179284,1500,0.0,182335
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta36_2a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta36_2a_alloc1_MinDis.dzn,SATISFIED,1200.4220712315291,,,MinDis,,,minimize,0.517227,,,3,,4129,10100,,,480,1380,1800,,,,,,,0,1831,930,,,900,,
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta53_5a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta53_5a_alloc1_MinDis.dzn,SATISFIED,1200.4496003054082,,,MinDis,,,minimize,0.784295,,,7,,6867,272137,,,800,2300,3000,,,,,,,0,3049,1550,,,1500,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta57_4a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta57_4a_alloc1_MinDis.dzn,SATISFIED,1200.591180274263,5,3049,MinDis,0.142,1199.231,minimize,0.766564,9446436,0.923,5,1310504,6866,1310504,0.0,0.94,800,2300,3000,1569251,1569251,11020211,254876532,766,3811,0,3048,1550,-278886888,179942,1500,0.0,182993
Chuffed Prop,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta79_10a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta79_10a_alloc1_MinDis.dzn,SATISFIED,1200.7071387711912,,,MinDis,,,minimize,1.886,,,12,,18212,2054780,,,2100,6100,8000,,,,,,,0,8089,4100,,,4000,,
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta33_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta33_3a_alloc1_MinDis.dzn,SATISFIED,1200.5636803098023,15,1832,MinDis,0.083,1199.529,minimize,0.469566,2375542,1180.433,15,384334,4129,384334,0.0,0.63,480,1380,1800,1047697,1047697,3430432,421620135,462,2297,0,1831,930,-1866266220,231896,900,0.0,233730
Chuffed BB,jobshop,jobshop/jobshop.mzn,jobshop/dzn/ta35_3a_alloc1.dzn:jobshop/generated_bounds/MinDis/ta35_3a_alloc1_MinDis.dzn,UNKNOWN,1200.554950973019,0,1830,MinDis,0.082,1199.506,minimize,0.492686,2128229,0.0,0,-1,4127,,0.0,0.94,480,1380,1800,946218,946218,3074773,414018169,454,2293,0,1829,930,1973284615,204190,900,0.0,206022
